"genus","address","health","height","landmark","location"
"Oak","2418 Londonderry Rd","1 - Good","1 - Short","No","Street"
"Maple","817 Third St","2 - Neutral","3 - Tall","Yes","Street"
"Oak","1625 S Maple Rd","1 - Good","2 - Medium","No","Street"
"Maple","646 Louise Dr","2 - Neutral","3 - Tall","Yes","Street"
"Pine","Sugarbush Park","2 - Neutral","2 - Medium","No","Park"
"Honey","407 S Fifth Ave","1 - Good","2 - Medium","No","Street"
"Spruce","3170 Dwight St","2 - Neutral","1 - Short","No","Street"
"Honey","410 Wilder Pl","1 - Good","2 - Medium","No","Street"
"Maple","500 S Seventh St","2 - Neutral","3 - Tall","Yes","Street"
"Spruce","581 Huntington Dr","2 - Neutral","1 - Short","No","Street"
"Oak","1209 W Huron St","2 - Neutral","2 - Medium","No","Street"
"Maple","Fuller Park","2 - Neutral","2 - Medium","No","Park"
"Oak","325 E Liberty St","1 - Good","1 - Short","No","Street"
"Maple","Mushroom Park","2 - Neutral","3 - Tall","No","Park"
"Maple","1925 Austin Ave","2 - Neutral","3 - Tall","Yes","Street"
"Maple","Woodbury Park","1 - Good","3 - Tall","No","Park"
"Honey","860 Arlington Blvd","2 - Neutral","3 - Tall","No","Street"
"Maple","532 S Ashley St","3 - Bad","2 - Medium","Yes","Street"
"Honey","116 E Liberty St","1 - Good","1 - Short","No","Street"
"Honey","Hunt Park","1 - Good","2 - Medium","No","Park"
"Maple","Earhart West Park","1 - Good","3 - Tall","No","Park"
"Spruce","Leslie Science Center","3 - Bad","2 - Medium","No","Park"
"Spruce","Sugarbush Park","1 - Good","2 - Medium","No","Park"
"Maple","Kelly Park","2 - Neutral","1 - Short","No","Park"
"Maple","3074 Edgewood Dr","2 - Neutral","3 - Tall","Yes","Street"
"Pine","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Maple","2083 Georgetown Blvd","2 - Neutral","2 - Medium","No","Street"
"Spruce","Kelly Park","2 - Neutral","1 - Short","No","Park"
"Oak","2865 S Main St","1 - Good","1 - Short","No","Street"
"Spruce","Baxter Park","2 - Neutral","3 - Tall","No","Park"
"Oak","Burr Oak Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Hunt Park","2 - Neutral","3 - Tall","No","Park"
"Honey","2222 Placid Way","2 - Neutral","2 - Medium","No","Street"
"Oak","Southeast Area Park","2 - Neutral","3 - Tall","No","Park"
"Oak","Leslie Park","1 - Good","1 - Short","No","Park"
"Maple","2307 Manchester Rd","1 - Good","2 - Medium","No","Street"
"Honey","1415 Fulmer St","3 - Bad","2 - Medium","No","Street"
"Maple","1606 Anderson Ave","1 - Good","3 - Tall","Yes","Street"
"Maple","2811 Canterbury Rd","2 - Neutral","2 - Medium","Yes","Street"
"Maple","6 Manchester Ct","2 - Neutral","2 - Medium","No","Street"
"Honey","2688 Gloucester Way","2 - Neutral","2 - Medium","No","Street"
"Spruce","Sugarbush Park","1 - Good","2 - Medium","No","Park"
"Pine","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Honey","3248 Bluett Dr","1 - Good","2 - Medium","No","Street"
"Oak","Furstenburg Nature Area","1 - Good","3 - Tall","No","Park"
"Honey","Island Park","1 - Good","3 - Tall","No","Park"
"Honey","Veterans Memorial Park","2 - Neutral","1 - Short","No","Park"
"Oak","Southeast Area Park","2 - Neutral","2 - Medium","No","Park"
"Spruce","West Park","2 - Neutral","1 - Short","No","Park"
"Spruce","Glacier Highlands Park","1 - Good","1 - Short","No","Park"
"Honey","2215 Faye Dr","2 - Neutral","1 - Short","No","Street"
"Maple","Buhr Park","2 - Neutral","2 - Medium","No","Park"
"Honey","3780 Windemere Dr","1 - Good","2 - Medium","No","Street"
"Maple","3941 Research Park Dr","1 - Good","1 - Short","No","Street"
"Pine","Sugarbush Park","2 - Neutral","3 - Tall","No","Park"
"Pine","651 Burr Oak Dr","2 - Neutral","2 - Medium","No","Street"
"Spruce","2771 Maplewood Ave","1 - Good","3 - Tall","Yes","Street"
"Maple","1126 Wines Dr","2 - Neutral","2 - Medium","Yes","Street"
"Honey","347 S Main St","1 - Good","2 - Medium","No","Street"
"Honey","3249 Dexter Ave","1 - Good","3 - Tall","Yes","Street"
"Oak","1901 S Huron Pkwy","1 - Good","1 - Short","No","Street"
"Maple","West Park","2 - Neutral","1 - Short","No","Park"
"Pine","Arbor Oaks Park","2 - Neutral","2 - Medium","No","Park"
"Spruce","Sugarbush Park","1 - Good","2 - Medium","No","Park"
"Maple","Sylvan Park","1 - Good","1 - Short","No","Park"
"Pine","315 E Eisenhower Pkwy","2 - Neutral","2 - Medium","No","Street"
"Spruce","Baxter Park","1 - Good","3 - Tall","Yes","Park"
"Maple","2817 Cumberland Ave","1 - Good","3 - Tall","Yes","Street"
"Maple","Evergreen Park","2 - Neutral","3 - Tall","No","Park"
"Maple","743 Braeside Pl","3 - Bad","2 - Medium","No","Street"
"Pine","Buhr Park","2 - Neutral","2 - Medium","No","Park"
"Spruce","520 Rock Creek Dr","2 - Neutral","3 - Tall","No","Street"
"Pine","Mushroom Park","3 - Bad","2 - Medium","No","Park"
"Oak","Kuebler Langford","2 - Neutral","1 - Short","No","Park"
"Maple","2550 S Maple Rd","2 - Neutral","2 - Medium","Yes","Trail"
"Honey","Pilgrim Park","2 - Neutral","3 - Tall","No","Park"
"Oak","2669 Yost Blvd","2 - Neutral","1 - Short","No","Street"
"Maple","3216 Lockridge Dr","2 - Neutral","2 - Medium","No","Street"
"Honey","Veterans Memorial Park","3 - Bad","1 - Short","No","Park"
"Oak","2989 Easy St","1 - Good","3 - Tall","Yes","Street"
"Maple","3648 Middleton Dr","1 - Good","2 - Medium","No","Street"
"Maple","520 W Washington St","1 - Good","3 - Tall","Yes","Street"
"Maple","420 W Liberty St","2 - Neutral","2 - Medium","Yes","Street"
"Maple","1514 Traver St","1 - Good","1 - Short","No","Street"
"Honey","3620 Margaret Dr","2 - Neutral","2 - Medium","No","Trail"
"Honey","1200 Wright St","2 - Neutral","2 - Medium","No","Street"
"Maple","1606 Shadford Rd","2 - Neutral","3 - Tall","Yes","Street"
"Pine","Manchester Park","2 - Neutral","2 - Medium","No","Park"
"Oak","1490 Jewett Ave","1 - Good","3 - Tall","No","Street"
"Pine","Buhr Park","2 - Neutral","2 - Medium","No","Park"
"Maple","301 W Summit St","2 - Neutral","1 - Short","No","Street"
"Oak","Fritz Park","3 - Bad","3 - Tall","Yes","Park"
"Honey","Buhr Park","1 - Good","2 - Medium","No","Park"
"Maple","423 W Washington St","2 - Neutral","2 - Medium","No","Street"
"Maple","611 Wembley Ct","1 - Good","1 - Short","No","Street"
"Pine","Waterworks Park","2 - Neutral","2 - Medium","No","Park"
"Oak","3090 E Eisenhower Pkwy","1 - Good","1 - Short","No","Street"
"Oak","3101 Hilltop Dr","1 - Good","3 - Tall","Yes","Trail"
"Spruce","3150 E Eisenhower Pkwy","1 - Good","3 - Tall","No","Street"
"Oak","Kuebler Langford","2 - Neutral","1 - Short","No","Park"
"Maple","Brookside Park","2 - Neutral","1 - Short","No","Park"
"Maple","Southeast Area Park","1 - Good","1 - Short","No","Park"
"Maple","390 Glenwood St","1 - Good","2 - Medium","No","Street"
"Maple","1050 Wall St","1 - Good","1 - Short","No","Street"
"Pine","300 E Eisenhower Pkwy","2 - Neutral","2 - Medium","No","Street"
"Maple","Placid Way Park","2 - Neutral","1 - Short","No","Park"
"Maple","1955 Ridge Ave","2 - Neutral","1 - Short","No","Street"
"Maple","3955 Waldenwood Dr","2 - Neutral","3 - Tall","No","Trail"
"Maple","2438 Placid Way","2 - Neutral","2 - Medium","No","Street"
"Oak","Furstenburg Nature Area","1 - Good","2 - Medium","No","Park"
"Pine","Woodbury Park","2 - Neutral","3 - Tall","No","Park"
"Maple","3410 Sussex Ct","2 - Neutral","3 - Tall","Yes","Street"
"Maple","803 John A Woods Dr","2 - Neutral","3 - Tall","Yes","Street"
"Oak","Garden Homes Park","2 - Neutral","3 - Tall","Yes","Park"
"Honey","2400 Ann Arbor Saline Rd","1 - Good","2 - Medium","No","Street"
"Maple","Barton Nature Area","1 - Good","2 - Medium","No","Park"
"Oak","900 Earhart Rd","2 - Neutral","2 - Medium","No","Street"
"Maple","1900 Pauline Blvd","1 - Good","1 - Short","No","Street"
"Oak","1901 S Huron Pkwy","1 - Good","2 - Medium","No","Street"
"Honey","1790 Sheridan Dr","1 - Good","2 - Medium","No","Street"
"Maple","2631 Emerald Ave","1 - Good","1 - Short","No","Street"
"Pine","501 Huron Pkwy","2 - Neutral","1 - Short","No","Street"
"Pine","Sugarbush Park","2 - Neutral","3 - Tall","No","Park"
"Pine","1315 Pine Valley Blvd","1 - Good","3 - Tall","Yes","Street"
"Honey","2459 S Industrial Hwy","2 - Neutral","2 - Medium","No","Street"
"Pine","2371 Tuebingen Pkwy","2 - Neutral","2 - Medium","No","Trail"
"Spruce","3001 S State St","2 - Neutral","2 - Medium","No","Trail"
"Oak","Olson Park","2 - Neutral","1 - Short","No","Park"
"Oak","Gallup Park","2 - Neutral","2 - Medium","No","Park"
"Oak","820 Heatherway St","2 - Neutral","2 - Medium","No","Street"
"Oak","Lawton Park","2 - Neutral","1 - Short","No","Park"
"Oak","Bandemer Park","1 - Good","1 - Short","No","Park"
"Honey","Buhr Park","2 - Neutral","2 - Medium","No","Park"
"Honey","330 E Liberty St","1 - Good","2 - Medium","No","Street"
"Pine","501 Huron Pkwy","2 - Neutral","1 - Short","No","Street"
"Honey","2111 Fair St","1 - Good","2 - Medium","No","Street"
"Honey","3050 Washtenaw Ave","1 - Good","2 - Medium","No","Trail"
"Honey","525 Third St","2 - Neutral","2 - Medium","No","Street"
"Maple","921 W Washington St","1 - Good","2 - Medium","No","Street"
"Oak","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Pine","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Honey","1840 Arbordale St","1 - Good","2 - Medium","No","Street"
"Oak","1138 Fair Oaks Pkwy","2 - Neutral","3 - Tall","Yes","Street"
"Honey","1021 W Huron St","2 - Neutral","2 - Medium","No","Street"
"Honey","2265 Tilsby Ct","2 - Neutral","3 - Tall","No","Street"
"Pine","Leslie Science Center","3 - Bad","2 - Medium","No","Park"
"Oak","3840 Penberton Ct","1 - Good","2 - Medium","No","Street"
"Spruce","531 Allison Dr","1 - Good","2 - Medium","No","Street"
"Maple","Wheeler Park","2 - Neutral","2 - Medium","No","Park"
"Honey","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Honey","812 Miller Ave","2 - Neutral","2 - Medium","No","Street"
"Maple","Gallup Park","1 - Good","2 - Medium","No","Park"
"Spruce","Gallup Park","1 - Good","2 - Medium","No","Park"
"Spruce","341 Riverview Dr","2 - Neutral","2 - Medium","No","Trail"
"Honey","2650 Esch Ave","1 - Good","2 - Medium","No","Street"
"Oak","3091 Wolverhampton Ln","1 - Good","2 - Medium","No","Street"
"Honey","1602 Cherokee Rd","1 - Good","3 - Tall","Yes","Street"
"Pine","Dicken Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Mary Beth Doyle Park","2 - Neutral","1 - Short","No","Park"
"Spruce","1867 Victoria Ave","1 - Good","3 - Tall","No","Trail"
"Oak","Sylvan Park","1 - Good","3 - Tall","Yes","Park"
"Oak","Cranbrook Park","2 - Neutral","1 - Short","No","Park"
"Oak","Gallup Park","2 - Neutral","3 - Tall","No","Park"
"Pine","Mushroom Park","2 - Neutral","2 - Medium","No","Park"
"Spruce","2630 Traver Blvd","1 - Good","1 - Short","No","Street"
"Honey","350 S Main St","1 - Good","2 - Medium","No","Street"
"Maple","2340 Pinecrest Ave","2 - Neutral","3 - Tall","Yes","Street"
"Maple","2420 Placid Way","2 - Neutral","2 - Medium","Yes","Street"
"Maple","3306 Alton Ct","2 - Neutral","2 - Medium","No","Street"
"Oak","2764 Haverhill Ct","1 - Good","1 - Short","No","Street"
"Spruce","Placid Way Park","1 - Good","2 - Medium","No","Park"
"Maple","1004 Miner St","2 - Neutral","2 - Medium","No","Street"
"Honey","251 E Liberty St","2 - Neutral","2 - Medium","No","Street"
"Spruce","Southeast Area Park","1 - Good","1 - Short","No","Park"
"Honey","Veterans Memorial Park","2 - Neutral","2 - Medium","No","Park"
